,DTA-mean,DTA-se,DTA-upper,DTA-lower,SRS-mean,SRS-se,SRS-upper,SRS-lower,SARSA-mean,SARSA-se,SARSA-upper,SARSA-lower,SPRS-mean,SPRS-se,SPRS-upper,SPRS-lower
0,686.915,9.188448100981468,696.1034481009814,677.7265518990185,643.108,10.21432513603018,653.3223251360301,632.8936748639697,730.33,9.028162328089229,739.3581623280893,721.3018376719108,875.3,6.543041339357975,881.8430413393579,868.756958660642
1,605.042,9.526450335499218,614.5684503354993,595.5155496645008,624.3888,9.607783806073288,633.9965838060732,614.7810161939267,662.91,9.20160618278843,672.1116061827884,653.7083938172116,620.4,9.762784880620957,630.162784880621,610.637215119379
2,609.468,9.639561626524044,619.107561626524,599.8284383734759,620.0154,9.864915227150927,629.880315227151,610.150484772849,693.48,9.48141836917286,702.9614183691729,683.9985816308272,605.1,9.664108162586375,614.7641081625864,595.4358918374137
3,550.844,9.54081027787769,560.3848102778777,541.3031897221224,615.846,10.110082274768327,625.9560822747683,605.7359177252317,661.45,9.38099278051478,670.8309927805149,652.0690072194852,660.3,9.746861937770046,670.04686193777,650.5531380622299
4,526.697,9.307891072988378,536.0048910729884,517.3891089270116,564.492,9.508942932274929,574.0009429322749,554.983057067725,610.52,10.261995976137731,620.7819959761378,600.2580040238622,595.9,10.47158481429421,606.3715848142942,585.4284151857057
5,499.607,9.412082796535273,509.0190827965353,490.19491720346474,555.4662,9.528682949736938,564.9948829497368,545.9375170502631,651.7,9.784306801532452,661.4843068015325,641.9156931984676,549.6,8.188398664911109,557.7883986649111,541.4116013350889
6,487.056,9.186049831320064,496.24204983132006,477.8699501686799,566.3388,9.01219020116909,575.3509902011691,557.3266097988309,655.06,10.006279404925257,665.0662794049252,645.0537205950747,744.7,9.051031456119725,753.7510314561198,735.6489685438803
7,472.916,9.188275100269749,482.1042751002698,463.7277248997302,495.4124,9.376803529063652,504.7892035290636,486.03559647093635,602.19,9.993179740152627,612.1831797401527,592.1968202598474,490.6,11.405897549220201,502.0058975492202,479.19410245077984
8,433.579,8.871680476733143,442.45068047673317,424.70731952326685,471.4196,8.552638271587476,479.97223827158746,462.86696172841255,581.07,9.612185022548946,590.682185022549,571.4578149774511,463.7,8.212760889824198,471.9127608898242,455.4872391101758
9,393.779,8.242064394211646,402.02106439421163,385.53693560578836,442.5726,8.650119344143132,451.2227193441432,433.9224806558569,643.21,9.836135841223726,653.0461358412238,633.3738641587763,604.8,11.079654992405978,615.8796549924059,593.720345007594
